"metabolite","apoe4","estimate","std_err","lower_ci","upper_ci"
"lpc226_4",0,-0.287928615741056,0.200468042372897,-0.680845978791934,0.104988747309822
"lpc226_4",1,-1.11381843948875,0.395731561628909,-1.88945230028141,-0.33818457869609
"lpc204_5",0,-0.263509378270666,0.203764488890129,-0.662887776495318,0.135869019953986
"lpc204_5",1,-0.639293507425155,0.344494879373755,-1.31450347099772,0.0359164561474058
"lpc182_2",0,-0.182900740111107,0.211964620833065,-0.598351396943915,0.232549916721701
"lpc182_2",1,0.0125945533707882,0.323556668554559,-0.621576516996147,0.646765623737723
"lpe226_16",0,-0.0755391836336995,0.192398055475307,-0.452639372365301,0.301561005097903
"lpe226_16",1,-0.64742692453991,0.389053842132189,-1.409972455119,0.115118606039181
"lpe204_20",0,-0.0860599775572924,0.196861773512281,-0.471909053641363,0.299789098526778
"lpe204_20",1,-0.0192086159455753,0.360441962162924,-0.725674861784906,0.687257629893755
"lpe182_17",0,0.0815983179706536,0.207471073137314,-0.325044985378482,0.488241621319789
"lpe182_17",1,0.475236243429401,0.343382305274445,-0.197793074908512,1.14826556176731
"lpe182_21",0,0.0691051208606891,0.208454822285995,-0.339466330819861,0.477676572541239
"lpe182_21",1,0.357427629216008,0.327360719590525,-0.28419938118142,0.999054639613437
"lpc225_7",0,-0.185926167569082,0.201064558092503,-0.580012701430387,0.208160366292223
"lpc225_7",1,-0.644306672422335,0.363995133158334,-1.35773713341267,0.0691237885679993
"lpc225_10",0,0.0136121171003225,0.196661355404906,-0.371844139493293,0.399068373693938
"lpc225_10",1,-0.388965132979787,0.3454425095128,-1.06603245162487,0.2881021856653
"pg364_pg182182_47",0,0.211438687738451,0.211001362755257,-0.202123983261853,0.625001358738755
"pg364_pg182182_47",1,0.342521374681954,0.377604906693872,-0.397584242438036,1.08262699180194
"lpe225_23",0,-0.0715396870218102,0.202247732162029,-0.467945242059388,0.324865868015767
"lpe225_23",1,-0.00574956182446741,0.362383021382473,-0.716020283734115,0.70452116008518
"lpc203_9",0,-0.248561216921661,0.2030867239535,-0.646611195870521,0.1494887620272
"lpc203_9",1,-0.68003163975217,0.35131259998948,-1.36860433573155,0.00854105622721113
"lpc160_11",0,-0.43799468337486,0.209319970418734,-0.848261825395578,-0.0277275413541411
"lpc160_11",1,-0.194080453391369,0.32759676234871,-0.836170107594841,0.448009200812102
"lpe160_24",0,-0.210306135863235,0.199785419672928,-0.601885558422174,0.181273286695704
"lpe160_24",1,0.263304956707094,0.361073454291691,-0.444399013704621,0.971008927118809
"lpc181_13",0,-0.282461598459935,0.205759056235289,-0.685749348681102,0.120826151761232
"lpc181_13",1,0.0291508650584174,0.33916691596575,-0.635616290234453,0.693918020351288
"lpe181_25",0,0.0713235572339309,0.20283023235416,-0.326223698180222,0.468870812648084
"lpe181_25",1,0.400933116140548,0.348607328672292,-0.282337248057143,1.08420348033824
"lpe224_27",0,-0.037353903208569,0.204822729978304,-0.438806453966046,0.364098647548907
"lpe224_27",1,-0.0224844737146682,0.342746870761877,-0.694268340407947,0.649299392978611
"lpc170_14",0,-0.0552098915183678,0.200521060806653,-0.448231170699407,0.337811387662671
"lpc170_14",1,-0.00582062217580371,0.338865931065781,-0.669997847064735,0.658356602713128
"lpc180_15",0,-0.51737782746374,0.214954144310847,-0.938687950313,-0.0960677046144796
"lpc180_15",1,-0.210303578429978,0.313396488349498,-0.824560695594994,0.403953538735038
"pi406pi18226_70",0,0.220498003451067,0.200833267506427,-0.17313520086153,0.614131207763665
"pi406pi18226_70",1,-0.290882356868024,0.352375337260846,-0.981538017899282,0.399773304163235
"smd182160_76",0,-0.414454772608485,0.217202312255597,-0.840171304629454,0.0112617594124849
"smd182160_76",1,-0.875930178307618,0.371564049642025,-1.60419571560599,-0.147664641009249
"pi385_pi181204_65",0,-0.161060879709097,0.201111739462245,-0.555239889055097,0.233118129636904
"pi385_pi181204_65",1,0.20971081026687,0.353276151287588,-0.482710446256802,0.902132066790543
"pi363_pi181182_64",0,-0.210083741518839,0.200862828819105,-0.603774886004285,0.183607402966607
"pi363_pi181182_64",1,0.205109148202085,0.342474467786361,-0.466140808659183,0.876359105063353
"pi363_pi180183_68",0,-0.0642094946571871,0.201279526535461,-0.45871736666669,0.330298377352316
"pi363_pi180183_68",1,0.372456667748354,0.354326486397173,-0.322023245590106,1.06693658108681
"pc408_pc182226_6",0,-0.202049800195018,0.202834782892711,-0.599605974664732,0.195506374274695
"pc408_pc182226_6",1,-0.649974762857919,0.343758418846149,-1.32374126379637,0.0237917380805327
"pi384_pi180204_72",0,-0.315797694877521,0.194414702689981,-0.696850512149885,0.0652551223948422
"pi384_pi180204_72",1,-0.712423782176229,0.414212892200481,-1.52428105088917,0.0994334865367127
"pi362_pi180182_71",0,-0.071186142657435,0.197974965439605,-0.459217074919061,0.316844789604191
"pi362_pi180182_71",1,-0.0427780237056395,0.345710592075924,-0.720370784174451,0.634814736763172
"smd181160_77",0,-0.362649653805391,0.20713160038129,-0.76862759055272,0.0433282829419377
"smd181160_77",1,-0.676770082786817,0.36404950438351,-1.3903071113785,0.0367669458048637
"pc343_pc161182_1",0,0.0715599557473762,0.197307563216636,-0.31516286815723,0.458282779651982
"pc343_pc161182_1",1,0.0433783991196764,0.365231308232242,-0.672474965015518,0.759231763254871
"pc343_pc160183_8",0,0.0765747661399482,0.199069908779787,-0.313602255068434,0.46675178734833
"pc343_pc160183_8",1,0.150832177335403,0.358563002664247,-0.551951307886521,0.853615662557326
"pc365_3",0,-0.0176456185925311,0.198537765414563,-0.406779638805074,0.371488401620012
"pc365_3",1,-0.536076499290413,0.354063196929476,-1.23004036527219,0.15788736669136
"pc332_pc150182_7",0,0.201575444222728,0.204222222367372,-0.198700111617321,0.601851000062778
"pc332_pc150182_7",1,-0.028847628434298,0.344863742083199,-0.704780562917368,0.647085306048772
"pc321_pc160161_11",0,0.0117834317204991,0.200933205549094,-0.382045651155724,0.405612514596722
"pc321_pc160161_11",1,-0.0735404292934732,0.351600573151824,-0.762677552671048,0.615596694084102
"pc322_pc140182_24",0,-0.194902364863433,0.206481285035282,-0.599605683532586,0.20980095380572
"pc322_pc140182_24",1,-0.200641252994961,0.402399830006463,-0.989344919807629,0.588062413817707
"pc386_9",0,-0.186421097959942,0.198628463058428,-0.575732885554461,0.202890689634577
"pc386_9",1,-0.767562102258619,0.388276488197698,-1.52858401912611,-0.00654018539113055
"smd181250_",0,-0.225175413883534,0.196697318430916,-0.61070215800813,0.160351330241062
"smd181250_",1,-0.682896611070129,0.373481478114421,-1.41492030817439,0.0491270860341364
"pi383_pi180203_74",0,-0.168058963733165,0.206019032233889,-0.571856266911587,0.235738339445257
"pi383_pi180203_74",1,-0.058823546526801,0.318633132630783,-0.683344486483135,0.565697393429533
"pg386_pg182204_43",0,-0.0998725908302032,0.192730817837565,-0.47762499379183,0.277879812131423
"pg386_pg182204_43",1,-0.146543473250672,0.370847200229669,-0.873403985700823,0.58031703919948
"pc364_10",0,0.0575319058516419,0.196547820690157,-0.327701822701067,0.44276563440435
"pc364_10",1,-0.307568511912489,0.371849753843835,-1.03639402944641,0.421257005621428
"pe386_pe160226_37",0,0.0498241633259738,0.198071009927546,-0.338395016132017,0.438043342783964
"pe386_pe160226_37",1,-0.0391896833025652,0.370169761844365,-0.76472241651752,0.686343049912389
"pc342_pc160182_14",0,-0.0406922299610085,0.194458922571557,-0.42183171820126,0.340447258279243
"pc342_pc160182_14",1,-0.0105648121636794,0.347769632332654,-0.692193291535682,0.671063667208323
"pc407_pc181226_15",0,-0.21086481421658,0.201099552574687,-0.605019937262966,0.183290308829806
"pc407_pc181226_15",1,-0.093470186620118,0.355902261356034,-0.791038618877945,0.604098245637709
"ps384_ps180204_56",0,-0.209162932604653,0.20501146317518,-0.610985400428005,0.1926595352187
"ps384_ps180204_56",1,0.0947123859481642,0.353630026285789,-0.598402465571982,0.78782723746831
"pe364_pe160204_39",0,0.0930270675383488,0.197265405730211,-0.293613127692865,0.479667262769563
"pe364_pe160204_39",1,0.256198874689411,0.381483859537131,-0.491509490003366,1.00390723938219
"pc396_pc170226_20",0,-0.0205054680208195,0.200457078071368,-0.4134013410407,0.372390404999061
"pc396_pc170226_20",1,-0.328231522789701,0.348898378269191,-1.01207234419732,0.355609298617913
"pg364_pg182182_44",0,0.318465231125694,0.198091774140821,-0.0697946461903149,0.706725108441702
"pg364_pg182182_44",1,0.147965651095745,0.372511012527675,-0.582155933458497,0.878087235649988
"pc385_16",0,-0.146038401061428,0.194696205447681,-0.527642963738882,0.235566161616027
"pc385_16",1,-0.623428746058094,0.38655442418389,-1.38107541745852,0.13421792534233
"pe342_pe160182_38",0,0.150564816438896,0.197509416734147,-0.236553640360033,0.537683273237825
"pe342_pe160182_38",1,0.588303338180966,0.381295508533529,-0.159035858544751,1.33564253490668
"pg4412_pg226226_40",0,-0.0541609661430025,0.210351946736594,-0.466450781746727,0.358128849460722
"pg4412_pg226226_40",1,-0.470766933716159,0.351484468314693,-1.15967649161296,0.218142624180639
"pc363_pc181182_18",0,-0.016965093128225,0.197310711842947,-0.403694088340401,0.369763902083951
"pc363_pc181182_18",1,-0.0156441511292069,0.358166168645891,-0.717649841675154,0.68636153941674
"pe385_pe180205_41",0,0.0438621483562608,0.196406766501653,-0.341095113986978,0.4288194106995
"pe385_pe180205_41",1,0.516634234664244,0.384277990839609,-0.23655062738139,1.26981909670988
"smd180181_",0,-0.184716144658745,0.204597704145153,-0.585727644783244,0.216295355465755
"smd180181_",1,-0.5190405639968,0.387031362535921,-1.27762203456721,0.239540906573605
"pe363_pe181182_40",0,0.245831092544959,0.196774528847007,-0.139846983995175,0.631509169085092
"pe363_pe181182_40",1,0.796507991400692,0.396675139588445,0.0190247178073397,1.57399126499404
"pc320_pc160160_21",0,-0.213923651369523,0.201092430269392,-0.608064814697531,0.180217511958486
"pc320_pc160160_21",1,0.134823208215474,0.355232663939154,-0.561432813105268,0.831079229536217
"pc352_pc170182_23",0,0.215137353397765,0.203752111225978,-0.184216784605153,0.614491491400683
"pc352_pc170182_23",1,0.114912333559011,0.351092437569246,-0.573228844076711,0.803053511194732
"pi365_pi160205_58",0,-0.112515000101994,0.197927355331187,-0.50045261655112,0.275422616347132
"pi365_pi160205_58",1,0.0732216152625346,0.361689600230481,-0.635690001189207,0.782133231714276
"pg4210_pg204226_41",0,-0.13196318485245,0.195997769410419,-0.51611881289687,0.252192443191971
"pg4210_pg204226_41",1,-0.313272116632541,0.361252512064414,-1.02132704027879,0.394782807013711
"ps386_ps160226_51",0,0.0561505866099033,0.197711178108949,-0.331363322483637,0.443664495703443
"ps386_ps160226_51",1,-0.317764050861461,0.356856130604249,-1.01720206684579,0.381673965122868
"pc341_pc160181_26",0,-0.0403357579053837,0.196762694525188,-0.425990639174752,0.345319123363985
"pc341_pc160181_26",1,-0.0494081688952613,0.359302216815055,-0.753640513852769,0.654824176062246
"pc406_pc180226_27",0,-0.22992112127691,0.200487473697688,-0.622876569724378,0.163034327170559
"pc406_pc180226_27",1,-0.516492239574683,0.353542476558359,-1.20943549362907,0.176451014479701
"pc372_pc182190_36",0,-0.0861892177158559,0.20552885959281,-0.489025782517763,0.316647347086051
"pc372_pc182190_36",1,0.0672886781022396,0.338371878330092,-0.59592020342474,0.73049755962922
"pe341_pe160181_42",0,0.092450943069778,0.194761002176681,-0.289280621196516,0.474182507336072
"pe341_pe160181_42",1,0.591894719118854,0.395358830413018,-0.18300858849066,1.36679802672837
"pi364_pi160204_63",0,-0.233012279402007,0.202532538695828,-0.62997605524583,0.163951496441816
"pi364_pi160204_63",1,-0.674381095674963,0.346513260241412,-1.35354708574813,0.0047848943982034
"pc384_pc180204_28",0,-0.204742880698222,0.197151788573274,-0.59116038630184,0.181674624905395
"pc384_pc180204_28",1,-0.463050581771752,0.380810608218656,-1.20943937388032,0.283338210336814
"pg408_pg182226_42",0,0.176044600350266,0.204567454227069,-0.224907609934788,0.576996810635321
"pg408_pg182226_42",1,0.62279612212783,0.378343307724861,-0.118756761012897,1.36434900526856
"pe406_pe180226_43",0,-0.0251221945904981,0.194859291532955,-0.407046405995091,0.356802016814094
"pe406_pe180226_43",1,-0.239984182573352,0.373134342459301,-0.971327493793581,0.491359128646877
"pc362_pc180182_29",0,-0.0850063293514398,0.197743149577495,-0.47258290252333,0.30257024382045
"pc362_pc180182_29",1,0.246494793327625,0.363555257800253,-0.466073511960871,0.95906309861612
"pi343_pi161182_60",0,-0.13030529346382,0.201491795261789,-0.525229212176926,0.264618625249286
"pi343_pi161182_60",1,0.368266148539034,0.356505293999416,-0.330484227699822,1.06701652477789
"pg363_pg181182_48",0,0.015434278893539,0.200741635090506,-0.378019325883853,0.408887883670931
"pg363_pg181182_48",1,-0.566292174545256,0.356545082044426,-1.26512053535233,0.13253618626182
"pc405_pc180225_30",0,-0.329116385230037,0.20230260514159,-0.725629491307554,0.0673967208474807
"pc405_pc180225_30",1,-0.56928107914532,0.367735055061168,-1.29004178706521,0.151479628774569
"pi342_pi160182_62",0,-0.244859212510747,0.204048714624408,-0.644794693174586,0.155076268153093
"pi342_pi160182_62",1,-0.000165721576680017,0.347289802642105,-0.680853734755205,0.680522291601845
"pe405_pe180225_46",0,0.0105471525588284,0.195078850825709,-0.37180739505956,0.392901700177217
"pe405_pe180225_46",1,0.113778139708037,0.379988638092155,-0.630999590952586,0.85855587036866
"pe384_pe180204_45",0,-0.0207556323876417,0.197215751854803,-0.407298506023056,0.365787241247773
"pe384_pe180204_45",1,-0.0158890144084444,0.376952043656389,-0.754715019974966,0.722936991158077
"pc340_pc160180_32",0,-0.190464865838724,0.204565204559641,-0.59141266677562,0.210482935098171
"pc340_pc160180_32",1,-0.474137038911089,0.329657257618422,-1.1202652638432,0.171991186021018
"ps386_ps180226_55",0,0.0606874546931991,0.201397488638084,-0.334051623037445,0.455426532423843
